sam_address_id,full_address,mailing_neighborhood,state,zip_code,x_coord,y_coord,recollect,trashday,pwd_district
142278,148 Walter St,Roslindale,MA,2131,-71.13070076,42.29295962556435,W,W,6
319823,2 Torpie St # 2,Mission Hill,MA,2120,-71.1029806,42.33319958155468,TF,TF,10
127455,381 Silver St,South Boston,MA,2127,-71.04472047,42.33491950381161,W5,W,5
226375,93 Dresser St # 2,South Boston,MA,2127,-71.04482046,42.33764950381392,TH5,TH,5
30304,107 Chelsea St,East Boston,MA,2128,-71.03543036,42.372509489461805,W,W,9
431097,17 Court St #27,Boston,MA,2108,-71.05823045,42.35907951998076,MF,MF,1
270709,199 Massachusetts Ave #414,Boston,MA,2115,-71.08709054,42.34512955903856,TF,TF,10
367761,318 Boylston St,Boston,MA,2116,-71.07032049,42.35173953634422,MF,MF,1
71310,4 Haven St,Roxbury,MA,2118,-71.07458053,42.33903954326353,TF,TF,1
415346,702 Commonwealth Ave,Boston,MA,2215,-71.10484057,42.34945958177059,TF,TF,10
357789,81 Milk St,Boston,MA,2109,-71.05651287,42.35665723470134,MF,MF,1
185847,356 Beech St #2,Roslindale,MA,2131,-71.1375408,42.278839637413775,TH,TH,6
76262,270 Huntington Ave #208,Boston,MA,2115,-71.08588355,42.34160055810528,TF,TF,10
385885,11 Tampa St # Rt,Mattapan,MA,2126,-71.10897075,42.27355959809764,F,F,8
116844,9-11 Riverside Sq,Hyde Park,MA,2136,-71.11466679,42.25931260781625,T,T,8
209780,24 Colgate Rd #12,Roslindale,MA,2131,-71.12177073,42.29365961290713,W,W,2
316725,140 Sutherland Rd # 3,Brighton,MA,2135,-71.14753069,42.34084963934486,T,T,4
411793,95 Georgetowne Dr,Hyde Park,MA,2136,-71.14849087,42.25853966,F,F,6
111334,15 Pleasantdale Rd,West Roxbury,MA,2132,-71.1626309,42.26174967671779,F,F,6
152237,24 Worcester Sq # 3,Roxbury,MA,2118,-71.07426053,42.33667954,TF,TF,1
209395,52 Codman Hill Ave # 1,Dorchester,MA,2124,-71.07299066,42.279190546818135,W,W,7
302897,6 Sagamore St # 1,Dorchester,MA,2125,-71.05537054,42.31297951961435,F,F,3
131424,52 Strathmore Rd #52-33,Brighton,MA,2135,-71.14770069,42.337839639749774,T,T,4
110992,21 Plainfield St # 2,Jamaica Plain,MA,2130,-71.10680068,42.30390959111954,W,W,2
150215,9 Willow St # 41,Boston,MA,2108,-71.06828047,42.357699532687136,MF,MF,1
199332,81 Bunker Hill St #1061,Charlestown,MA,2129,-71.0580304,42.37763951834059,W1A,W,1A
283423,191 W Ninth St #40,South Boston,MA,2127,-71.05261049,42.33294951446421,TH5,TH,5
267449,437 Main St #2,Charlestown,MA,2129,-71.07092042,42.381599534350016,W1A,W,1A
30638,96 Chelsea St,East Boston,MA,2128,-71.03617037,42.37238949027559,W,W,9
274968,658 Metropolitan Ave #2,Hyde Park,MA,2136,-71.11731079,42.26357961141295,TH,TH,8
286305,100 Ocean View Dr #401,Dorchester,MA,2125,-71.03850049,42.31842949647692,,,
285602,39 Nottinghill Rd # 2,Brighton,MA,2135,-71.15029069,42.34293964257896,T,T,4
37632,1423 Commonwealth Ave #5-403,Allston,MA,2134,-71.13941265,42.34920362713435,W,W,4
305570,1046 Saratoga St #1,East Boston,MA,2128,-71.00451026,42.38604945013351,F,F,9
296285,28 Prospect St #2-3,Charlestown,MA,2129,-71.05816041,42.37550952,W1A,W,1A
154277,3 Hall Pl,South Boston,MA,2127,-71.03465045,42.33359949077428,T5,T,5
430330,75 Francis St #31,Boston,MA,2115,-71.10632061,42.33549958571125,TF,TF,10
293638,61 Pierce Ave # 2,Dorchester,MA,2122,-71.05176059,42.28742951647464,TH,TH,7
256458,447 Huntington Ave #2,Hyde Park,MA,2136,-71.11490079,42.263009608081006,TH,TH,8
415621,580 Commonwealth Ave #817,Boston,MA,2215,-71.09936056,42.348809574678086,TF,TF,10
87498,19-21 Lothrop St,Brighton,MA,2135,-71.14517064,42.36019563298576,F,F,4
184538,506 Beacon St #10,Boston,MA,2215,-71.09000053,42.35093956212874,MTH,MTH,10
394369,10 Mystic St # 1,Charlestown,MA,2129,-71.06304041,42.379529524518205,W1A,W,1A
433923,23-55 Northern Ave #544,Boston,MA,2210,-71.04722028,42.353108179533415,TH5,TH,5
199890,27 Business St #3,Hyde Park,MA,2136,-71.12648083,42.25451962593908,W,W,8
204536,134 Chandler St #4,Boston,MA,2116,-71.07439051,42.34587954220813,TF,TF,1
44806,105 Cummins Hwy,Roslindale,MA,2131,-71.12493076,42.28362961889368,TH,TH,6
431794,600 Harrison Ave #99,Roxbury,MA,2118,-71.06805359,42.34010912066167,TF,TF,1
241974,82 Glenville Ave #1,Allston,MA,2134,-71.13515764,42.34914562150876,W,W,4
192757,1191 Boylston St #24,Boston,MA,2215,-71.09423355,42.34618356826449,TF,TF,10
282350,288 Newbury St Ste 303,Boston,MA,2115,-71.08449053,42.34883955517249,MTH,MTH,1
149315,6 Whitfield St,Dorchester,MA,2124,-71.07314063,42.28975954613649,T,T,7
395238,48 Monument Ave #2FL,Charlestown,MA,2129,-71.06179042,42.37502952329759,W1A,W,1A
103230,245-265 Norfolk St,Dorchester,MA,2124,-71.08183066,42.28499955873412,T,T,7
